what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1331914451240
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1331914451240
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1331914451240
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1331914451241
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1331914451241
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1331914451242
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1331914451243
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1331914451243
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1331914451247
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1331914451247
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1331914451247
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1331914451248
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1331914451248
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1331914451249
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1331914451249
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1331914451250
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1331914451250
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1331914451251
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1331914451251
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1331914451252
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1331914451252
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1331914451253
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1331914451253
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1331914451254
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1331914451254
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1331914451255
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1331914451255
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1331914451256
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1331914451257
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1331914451257
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331914451258
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331914451259
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331914451259
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331914451259
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331914451259
os,sysinfo,,,"linux",1331914451263
arch,sysinfo,,,"x86_64",1331914451263
ws,sysinfo,,,"gtk",1331914451263
locale,sysinfo,,,"en_US",1331914451263
processors,sysinfo,,,"2",1331914451263
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331914451263
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1331914451263
java.specification.name,sysinfo,,,"Java Platform API Specification",1331914451263
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331914451263
java.specification.version,sysinfo,,,"1.6",1331914451263
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331914451263
java.version,sysinfo,,,"1.6.0_20",1331914451263
java.vm.info,sysinfo,,,"mixed mode",1331914451263
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331914451263
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331914451263
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331914451263
java.vm.specification.version,sysinfo,,,"1.0",1331914451263
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331914451263
java.vm.version,sysinfo,,,"16.3-b01",1331914451263
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1331914451476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914478838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914519734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914585881
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1331914589487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914589578
error,log,,,"Invalid project description.",1331914626917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914626945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914631700
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331914632708
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1331914633009
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1331914633020
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1331914633206
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1331914633208
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1331914633209
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1331914633212
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1331914633212
